"gene","symbol","outcome","nsnp","b","se","pval","q","method","ok","note"
"ENSG00000081026","MAGI3","t2d",1,-1.04545835917333,0.270724754166097,0.000112599799796834,0.00643479280770354,"Wald ratio",TRUE,"lead rs1230642 (cis p=1e-09)"
"ENSG00000081320","STK17B","t2d",1,0.20540646635456,0.0611688374070564,0.000785016005433455,0.0270247064032666,"Wald ratio",TRUE,"lead rs12467988 (cis p=3e-122)"
"ENSG00000085721","RRN3","t2d",1,0.216115413915693,0.0515569451498222,2.76773320376328e-05,0.00229294319889007,"Wald ratio",TRUE,"lead rs2280018 (cis p=3.7e-140)"
"ENSG00000086544","ITPKC","t2d",1,0.694950809646091,0.19340612155245,0.000326616170917991,0.0142842007796323,"Wald ratio",TRUE,"lead rs28493229 (cis p=1e-26)"
"ENSG00000086619","ERO1LB","t2d",1,0.198281353225504,0.0529196854892392,0.000179079478826866,0.00903376182794935,"Wald ratio",TRUE,"lead rs1726627 (cis p=5.7e-154)"
"ENSG00000087274","ADD1","t2d",1,-0.293831004602724,0.0875455390425925,0.000789865932448224,0.0271001139786108,"Wald ratio",TRUE,"lead rs6819310 (cis p=2.6e-69)"
"ENSG00000087448","KLHL42","t2d",1,0.344053411258327,0.0510094316237762,1.53134607441451e-11,1.4185833180258e-08,"Wald ratio",TRUE,"lead rs12578595 (cis p=3.2e-208)"
"ENSG00000090975","PITPNM2","t2d",1,-1.15041835870418,0.259771887449332,9.48593039226868e-06,0.00112397244996765,"Wald ratio",TRUE,"lead rs7975763 (cis p=2.1e-11)"
"ENSG00000091140","DLD","t2d",1,-0.683695027116308,0.195341436318945,0.00046525815807105,0.0181646767461456,"Wald ratio",TRUE,"lead rs17154615 (cis p=2e-28)"
"ENSG00000095485","CWF19L1","t2d",1,-0.0796943702644714,0.0221215689702092,0.000315093663539702,0.0138396742735757,"Wald ratio",TRUE,"lead rs10430625 (cis p=3.3e-310)"
"ENSG00000095637","SORBS1","t2d",1,0.642257430322655,0.183208049034347,0.000455548558239337,0.0178539992633032,"Wald ratio",TRUE,"lead rs7070798 (cis p=5.3e-18)"
"ENSG00000100347","SAMM50","t2d",1,-0.184209730419702,0.0337226051111582,4.69475533761661e-08,1.64963989276942e-05,"Wald ratio",TRUE,"lead rs1007863 (cis p=3.3e-310)"
"ENSG00000100401","RANGAP1","t2d",1,-0.357815743193983,0.106669598914433,0.000795285628327609,0.0271944984988535,"Wald ratio",TRUE,"lead rs55658582 (cis p=1.5e-39)"
"ENSG00000100416","TRMU","t2d",1,0.795466788643983,0.248447161384696,0.0013659340957895,0.0390979450452107,"Wald ratio",TRUE,"lead rs6520009 (cis p=5.4e-16)"
"ENSG00000101057","MYBL2","t2d",1,-0.273970034812073,0.0589417604774978,3.34928334461059e-06,0.0004806929194589,"Wald ratio",TRUE,"lead rs285205 (cis p=1.6e-230)"
"ENSG00000101421","CHMP4B","t2d",1,-0.155598549364963,0.030276565024217,2.75851145191653e-07,6.69267421310224e-05,"Wald ratio",TRUE,"lead rs13041078 (cis p=3.3e-310)"
"ENSG00000101557","USP14","t2d",1,0.226263189943132,0.0620844118746398,0.000267970009028054,0.0123000648288102,"Wald ratio",TRUE,"lead rs4797876 (cis p=1.3e-123)"
"ENSG00000103091","WDR59","t2d",1,0.310270025663653,0.0878542366574502,0.000412982483684756,0.0169507724165622,"Wald ratio",TRUE,"lead rs4548900 (cis p=1.9e-57)"
"ENSG00000103479","RBL2","t2d",1,0.0611279343672316,0.0138369822779693,9.97468211862679e-06,0.00114204506504278,"Wald ratio",TRUE,"lead rs1072910 (cis p=3.3e-310)"
"ENSG00000103512","NOMO1","t2d",1,0.148139715132951,0.0471754449976956,0.00168840070643117,0.0446332294427213,"Wald ratio",TRUE,"lead rs7405130 (cis p=9.3e-74)"
"ENSG00000103540","CCP110","t2d",1,-0.349221910079262,0.100298720910493,0.00049802171916127,0.0190783508205013,"Wald ratio",TRUE,"lead rs7191012 (cis p=3.6e-69)"
"ENSG00000103657","HERC1","t2d",1,0.326095467815453,0.0871004181135739,0.000181184028478824,0.00909490271034097,"Wald ratio",TRUE,"lead rs17772987 (cis p=8.4e-63)"
"ENSG00000103932","RPAP1","t2d",1,-0.131017246659959,0.0304422426062847,1.67895158434147e-05,0.00158221157726194,"Wald ratio",TRUE,"lead rs1077809 (cis p=3.3e-310)"
"ENSG00000105612","DNASE2","t2d",1,-0.110398928891755,0.0305506469889135,0.000301932443251694,0.0134942613891876,"Wald ratio",TRUE,"lead rs10404876 (cis p=3.3e-310)"
"ENSG00000105726","ATP13A1","t2d",1,0.382689460921946,0.0552635160723331,4.36554789326725e-12,6.35499043319904e-09,"Wald ratio",TRUE,"lead rs10401969 (cis p=3.3e-310)"
"ENSG00000106012","IQCE","t2d",1,0.463344585260387,0.145444488646758,0.00144397123809423,0.0405744002318263,"Wald ratio",TRUE,"lead rs17801147 (cis p=6.5e-57)"
"ENSG00000106392","C1GALT1","t2d",1,0.158569288266263,0.0507077940797263,0.00176528672956377,0.0463615251913784,"Wald ratio",TRUE,"lead rs1010365 (cis p=3.3e-310)"
"ENSG00000107679","PLEKHA1","t2d",1,0.122007716535233,0.0305987606548679,6.68177377129945e-05,0.0045696157536605,"Wald ratio",TRUE,"lead rs1004946 (cis p=3.3e-310)"
"ENSG00000107864","CPEB3","t2d",1,0.568862678541491,0.123665799682933,4.22490940500571e-06,0.000574024357826775,"Wald ratio",TRUE,"lead rs833385 (cis p=2.2e-30)"
"ENSG00000108262","GIT1","t2d",1,0.105373674968557,0.0305323015809952,0.00055805948068168,0.0208301322642722,"Wald ratio",TRUE,"lead rs11080105 (cis p=3.3e-310)"
"ENSG00000108375","RNF43","t2d",1,0.66076747893043,0.203788100978544,0.00118517452977002,0.0352363064134448,"Wald ratio",TRUE,"lead rs12948345 (cis p=6.1e-18)"
"ENSG00000108384","RAD51C","t2d",1,-0.157716861340281,0.0342862742044088,4.22490940500571e-06,0.000574024357826775,"Wald ratio",TRUE,"lead rs10221208 (cis p=3.3e-310)"
"ENSG00000108395","TRIM37","t2d",1,0.136413287701448,0.029655062543793,4.22490940500571e-06,0.000574024357826775,"Wald ratio",TRUE,"lead rs10221208 (cis p=3.3e-310)"
"ENSG00000108551","RASD1","t2d",1,-0.266958450046685,0.0747899159663866,0.000357739069354137,0.0154464454098248,"Wald ratio",TRUE,"lead rs12449964 (cis p=8e-66)"
"ENSG00000108604","SMARCD2","t2d",1,-0.181103925853833,0.0397879837103119,5.32080722726778e-06,0.000713408232182351,"Wald ratio",TRUE,"lead rs11656575 (cis p=3.3e-310)"
"ENSG00000108771","DHX58","t2d",1,-0.13225836830039,0.0360075138828286,0.000239647303316175,0.0114112430878123,"Wald ratio",TRUE,"lead rs2277621 (cis p=1.3e-260)"
"ENSG00000108773","KAT2A","t2d",1,-0.346957880081638,0.110503708382166,0.00169071899557315,0.0446332294427213,"Wald ratio",TRUE,"lead rs35184688 (cis p=1.8e-19)"
"ENSG00000108774","RAB5C","t2d",1,0.422798415045195,0.131505861535796,0.00130420093167142,0.0378626994123411,"Wald ratio",TRUE,"lead rs2285657 (cis p=3.4e-14)"
"ENSG00000108788","MLX","t2d",1,0.488673903476598,0.0909652720757303,7.78279386881361e-08,2.47833342260033e-05,"Wald ratio",TRUE,"lead rs60929812 (cis p=6.7e-63)"
"ENSG00000109501","WFS1","t2d",1,0.300402078012175,0.0939241639262874,0.00138217803539942,0.0394520845398323,"Wald ratio",TRUE,"lead rs10005000 (cis p=6.1e-116)"
"ENSG00000109618","SEPSECS","t2d",1,0.570272379587604,0.181384344652546,0.00166655439722319,0.0444559929521055,"Wald ratio",TRUE,"lead rs62411562 (cis p=1.8e-34)"
"ENSG00000109670","FBXW7","t2d",1,-0.770102372650013,0.144289333437693,9.43880609044675e-08,2.74804097319007e-05,"Wald ratio",TRUE,"lead rs17028954 (cis p=3.3e-26)"
"ENSG00000109920","FNBP4","t2d",1,0.319389295731182,0.0843272067937113,0.000152170685025133,0.00803429678966896,"Wald ratio",TRUE,"lead rs11039337 (cis p=2.5e-63)"
"ENSG00000110931","CAMKK2","t2d",1,-0.125785519607476,0.0358798039536078,0.000455327588685601,0.0178539992633032,"Wald ratio",TRUE,"lead rs11065472 (cis p=3.3e-310)"
"ENSG00000111642","CHD4","t2d",1,-0.623696522042661,0.137291687242095,5.54968624320915e-06,0.000719894318569153,"Wald ratio",TRUE,"lead rs7969177 (cis p=6.2e-42)"
"ENSG00000111879","FAM184A","t2d",1,0.643006225173843,0.168303642830738,0.000133174482044184,0.00718014800015996,"Wald ratio",TRUE,"lead rs2782573 (cis p=1.8e-16)"
"ENSG00000112282","MED23","t2d",1,-0.32684334125419,0.0651205898134534,5.19282777130817e-07,0.000107985378669456,"Wald ratio",TRUE,"lead rs2245133 (cis p=3.8e-181)"
"ENSG00000112425","EPM2A","t2d",1,-0.145220492152861,0.0442468687028249,0.00103054861112532,0.0320161291078263,"Wald ratio",TRUE,"lead rs450973 (cis p=2.7e-210)"
"ENSG00000112658","SRF","t2d",1,-0.937846060305595,0.237919649517054,8.08520106445524e-05,0.00534988304199993,"Wald ratio",TRUE,"lead rs4398731 (cis p=2e-10)"
"ENSG00000112701","SENP6","t2d",1,0.121608965830819,0.0277473978374545,1.1720883618302e-05,0.00125721899021576,"Wald ratio",TRUE,"lead rs10485375 (cis p=3.3e-310)"
"ENSG00000112996","MRPS30","t2d",1,0.483672657291499,0.12319963912142,8.63967424724621e-05,0.00552360018639473,"Wald ratio",TRUE,"lead rs12651949 (cis p=2.1e-25)"
"ENSG00000113161","HMGCR","t2d",1,-0.381767523903065,0.0939552473157075,4.83856174655688e-05,0.00347217916883201,"Wald ratio",TRUE,"lead rs6453133 (cis p=1.2e-50)"
"ENSG00000113790","EHHADH","t2d",1,-0.335016764975901,0.0703535206449391,1.91774188899523e-06,0.000295174202756131,"Wald ratio",TRUE,"lead rs7429119 (cis p=7.8e-151)"
"ENSG00000114648","KLHL18","t2d",1,-0.409933082903063,0.115540984756462,0.000388248982845361,0.0164160047103495,"Wald ratio",TRUE,"lead rs11713101 (cis p=4.8e-29)"
"ENSG00000114650","SCAP","t2d",1,0.14452842503753,0.037177729913191,0.000101281987710993,0.00606376772545136,"Wald ratio",TRUE,"lead rs1038394 (cis p=3.3e-310)"
"ENSG00000115211","EIF2B4","t2d",1,0.615429280170299,0.114026237188913,6.76661938975735e-08,2.22425327682669e-05,"Wald ratio",TRUE,"lead rs1728922 (cis p=2.5e-25)"
"ENSG00000115216","NRBP1","t2d",1,-0.259994827608533,0.0464696637580863,2.20702266134477e-08,8.03198604253686e-06,"Wald ratio",TRUE,"lead rs2303370 (cis p=2.1e-200)"
"ENSG00000115241","PPM1G","t2d",1,-0.345256507132712,0.0802922109610959,1.70798109419836e-05,0.00158221157726194,"Wald ratio",TRUE,"lead rs11690265 (cis p=1.2e-69)"
"ENSG00000116030","SUMO1","t2d",1,0.875412169521194,0.275720368353132,0.00149836501265408,0.0412657823755273,"Wald ratio",TRUE,"lead rs7593110 (cis p=2.5e-07)"
"ENSG00000116273","PHF13","t2d",1,-0.257456998688752,0.068490163112713,0.000170569197531103,0.00877828344869666,"Wald ratio",TRUE,"lead rs11122103 (cis p=1.3e-101)"
"ENSG00000116299","KIAA1324","t2d",1,0.106357545102423,0.0254887362990557,3.00975129645412e-05,0.00239604419616152,"Wald ratio",TRUE,"lead rs10158318 (cis p=3.3e-310)"
"ENSG00000116584","ARHGEF2","t2d",1,-0.860693075122969,0.26549604938269,0.00118764817263944,0.0352363064134448,"Wald ratio",TRUE,"lead rs34802187 (cis p=5.9e-12)"
"ENSG00000118292","C1orf54","t2d",1,-0.417408362808057,0.115741551929078,0.000310494784250157,0.0137562689196048,"Wald ratio",TRUE,"lead rs61817552 (cis p=3.1e-22)"
"ENSG00000118520","ARG1","t2d",1,-0.143760804503598,0.0294665003019796,1.06739783516975e-06,0.000184352270175929,"Wald ratio",TRUE,"lead rs10499183 (cis p=3.3e-310)"
"ENSG00000118804","STBD1","t2d",1,-0.256871060348344,0.0780888023458966,0.00100374942250761,0.0315956232148219,"Wald ratio",TRUE,"lead rs1911737 (cis p=7.2e-149)"
"ENSG00000118997","DNAH7","t2d",1,0.280545726667071,0.0808194643047523,0.000518013736690913,0.0197698875538592,"Wald ratio",TRUE,"lead rs1072600 (cis p=2e-77)"
"ENSG00000119431","HDHD3","t2d",1,-0.117483947368939,0.0304723988488186,0.000115530311185167,0.00650416503302125,"Wald ratio",TRUE,"lead rs1040989 (cis p=3.3e-310)"
"ENSG00000119760","SUPT7L","t2d",1,0.505112324830184,0.157390072229695,0.00133057503938829,0.0383010159643126,"Wald ratio",TRUE,"lead rs8731 (cis p=2.3e-22)"
"ENSG00000119866","BCL11A","t2d",1,-0.763469746752601,0.168103430477637,5.5811237651583e-06,0.000719894318569153,"Wald ratio",TRUE,"lead rs7573683 (cis p=1.3e-11)"
"ENSG00000122557","HERPUD2","t2d",1,-0.202859892195129,0.0488366407136423,3.26933027351139e-05,0.00254308973183825,"Wald ratio",TRUE,"lead rs2392376 (cis p=6.6e-177)"
"ENSG00000123636","BAZ2B","t2d",1,0.0732776185070312,0.0193970166636259,0.000158233972092165,0.00822655191642431,"Wald ratio",TRUE,"lead rs1006192 (cis p=3.3e-310)"
"ENSG00000123700","KCNJ2","t2d",1,0.352668839206848,0.106660819662559,0.000944856677047441,0.0303725222054051,"Wald ratio",TRUE,"lead rs9890133 (cis p=8e-94)"
"ENSG00000124196","GTSF1L","t2d",1,1.14811571523559,0.23761775924605,1.35320660567189e-06,0.000226052054291747,"Wald ratio",TRUE,"lead rs420755 (cis p=3.4e-15)"
"ENSG00000124766","SOX4","t2d",1,0.501212114623711,0.161375112662937,0.00189712177941179,0.0491900023720257,"Wald ratio",TRUE,"lead rs6935117 (cis p=1.3e-20)"
"ENSG00000125388","GRK4","t2d",1,0.142897309131785,0.037047450515648,0.00011472012104656,0.00649443351924695,"Wald ratio",TRUE,"lead rs11937729 (cis p=3.3e-310)"
"ENSG00000125686","MED1","t2d",1,0.320832260494735,0.0814344881378075,8.15634916420704e-05,0.00535364524984573,"Wald ratio",TRUE,"lead rs12450559 (cis p=1.5e-73)"
"ENSG00000125967","NECAB3","t2d",1,1.11092637512007,0.332592155514341,0.000837162112775725,0.0283411359773576,"Wald ratio",TRUE,"lead rs2065703 (cis p=2.2e-07)"
"ENSG00000125977","EIF2S2","t2d",1,0.18141555469596,0.0424701154057017,1.94071164409268e-05,0.00171963927420039,"Wald ratio",TRUE,"lead rs6142101 (cis p=7.5e-211)"
"ENSG00000127603","MACF1","t2d",1,0.28499653228493,0.0429756675667752,3.32114826465084e-11,2.60326929359939e-08,"Wald ratio",TRUE,"lead rs111254532 (cis p=3.3e-310)"
"ENSG00000128563","PRKRIP1","t2d",1,-0.232746067097173,0.0730658131635618,0.00144538834976967,0.0405744002318263,"Wald ratio",TRUE,"lead rs6465859 (cis p=5.4e-245)"
"ENSG00000129933","MAU2","t2d",1,-0.0860430881199576,0.0231298623978381,0.000199222777951833,0.00980715027695257,"Wald ratio",TRUE,"lead rs1000237 (cis p=3.3e-310)"
"ENSG00000130856","ZNF236","t2d",1,-0.333261801246451,0.0767625497253063,1.41536848517948e-05,0.00144226048639789,"Wald ratio",TRUE,"lead rs62113105 (cis p=8.5e-80)"
"ENSG00000130943","PKDREJ","t2d",1,-0.552056115691688,0.145626313491812,0.000150096889508051,0.00796607970878665,"Wald ratio",TRUE,"lead rs3087501 (cis p=8.5e-39)"
"ENSG00000131470","PSMC3IP","t2d",1,0.800754228827213,0.150032382743225,9.43880609044675e-08,2.74804097319007e-05,"Wald ratio",TRUE,"lead rs12938909 (cis p=8.1e-24)"
"ENSG00000131771","PPP1R1B","t2d",1,0.399363792641931,0.112641069719519,0.000391936578499769,0.0164310162845784,"Wald ratio",TRUE,"lead rs3794712 (cis p=1.5e-48)"
"ENSG00000132680","KIAA0907","t2d",1,-1.40147643125023,0.432310270123558,0.00118764817263944,0.0352363064134448,"Wald ratio",TRUE,"lead rs34802187 (cis p=3.2e-10)"
"ENSG00000132823","C20orf111","t2d",1,0.102247151717438,0.0289755771967985,0.000417550032572176,0.0169515331948625,"Wald ratio",TRUE,"lead rs13043397 (cis p=3.3e-310)"
"ENSG00000133027","PEMT","t2d",1,-0.206132523869067,0.0649678382622353,0.00150955947486779,0.0414620243905736,"Wald ratio",TRUE,"lead rs12947517 (cis p=1.4e-107)"
"ENSG00000133059","DSTYK","t2d",1,0.107464160107081,0.0275638592482449,9.66968565875173e-05,0.00590024532111857,"Wald ratio",TRUE,"lead rs10157145 (cis p=3.3e-310)"
"ENSG00000133069","TMCC2","t2d",1,0.276245765698545,0.078501494569011,0.000433197376285364,0.0174097966107684,"Wald ratio",TRUE,"lead rs61822626 (cis p=1.8e-57)"
"ENSG00000133624","ZNF767","t2d",1,0.182468033718535,0.0498148926409497,0.000249355120031135,0.0115618939481906,"Wald ratio",TRUE,"lead rs354033 (cis p=4.8e-180)"
"ENSG00000133808","MICALCL","t2d",1,0.141136751767218,0.0444165659973305,0.00148514786115757,0.0411744283843401,"Wald ratio",TRUE,"lead rs10734193 (cis p=3.3e-310)"
"ENSG00000134256","CD101","t2d",1,0.132574119576048,0.0344021449532782,0.000116365855459249,0.00651520916005354,"Wald ratio",TRUE,"lead rs10494191 (cis p=3.3e-310)"
"ENSG00000134291","TMEM106C","t2d",1,-0.112592276551834,0.0357646054929354,0.00164308396862517,0.0441768486551201,"Wald ratio",TRUE,"lead rs4760674 (cis p=3.3e-310)"
"ENSG00000134802","SLC43A3","t2d",1,-1.2848300475914,0.30212587752768,2.11273003586211e-05,0.0018091360559189,"Wald ratio",TRUE,"lead rs6591424 (cis p=1.1e-28)"
"ENSG00000134825","TMEM258","t2d",1,-0.131252607499372,0.0390086420889743,0.000766252926550176,0.0265709687072938,"Wald ratio",TRUE,"lead rs174538 (cis p=3.1e-267)"
"ENSG00000134900","TPP2","t2d",1,-0.121151688048686,0.0366167415371027,0.000937496381941784,0.0303725222054051,"Wald ratio",TRUE,"lead rs12873144 (cis p=3.3e-310)"
"ENSG00000135100","HNF1A","t2d",1,0.5886279274543,0.113488674959055,2.14091427436789e-07,5.57152709460266e-05,"Wald ratio",TRUE,"lead rs1169307 (cis p=3e-31)"
"ENSG00000135114","OASL","t2d",1,0.104897640936372,0.0310658398157718,0.000733814534972628,0.0256961172212065,"Wald ratio",TRUE,"lead rs10774580 (cis p=3.3e-310)"
"ENSG00000135124","P2RX4","t2d",1,0.136457245662878,0.0386682124712136,0.000417250387037707,0.0169515331948625,"Wald ratio",TRUE,"lead rs10774588 (cis p=3.3e-310)"
"ENSG00000135763","URB2","t2d",1,-1.07903717865861,0.341347437888488,0.00157168532733972,0.042684701944713,"Wald ratio",TRUE,"lead rs10127637 (cis p=1.4e-17)"
"ENSG00000135924","DNAJB2","t2d",1,-0.433772372208766,0.136291017249884,0.00145912583144839,0.040735595130025,"Wald ratio",TRUE,"lead rs6730612 (cis p=5.1e-42)"
"ENSG00000135974","C2orf49","t2d",1,0.993379810487888,0.190715656437574,1.90172751687517e-07,5.09963247288367e-05,"Wald ratio",TRUE,"lead rs4851758 (cis p=6e-13)"
"ENSG00000136153","LMO7","t2d",1,-0.791171924211744,0.238487230743253,0.00090839818565584,0.0299565615269677,"Wald ratio",TRUE,"lead rs17706332 (cis p=6.2e-21)"
"ENSG00000136158","SPRY2","t2d",1,0.323133197698715,0.095239258269095,0.000691677003131155,0.0245880885538139,"Wald ratio",TRUE,"lead rs7995973 (cis p=3.5e-55)"
"ENSG00000137801","THBS1","t2d",1,0.110707474858367,0.0324902371866946,0.000655831557643541,0.0236983105403819,"Wald ratio",TRUE,"lead rs10048020 (cis p=3.3e-310)"
"ENSG00000138160","KIF11","t2d",1,-1.83211659421256,0.149866388074647,2.28581698277329e-34,1.35817542804997e-30,"Wald ratio",TRUE,"lead rs10882098 (cis p=6.9e-21)"
"ENSG00000138778","CENPE","t2d",1,-0.9346009965842,0.223491542661439,2.89187191032343e-05,0.00235003894511318,"Wald ratio",TRUE,"lead rs17033423 (cis p=9.3e-15)"
"ENSG00000139218","SCAF11","t2d",1,-0.959888647881544,0.282149087407605,0.000668794988028565,0.0240813460353748,"Wald ratio",TRUE,"lead rs10880868 (cis p=4.1e-08)"
"ENSG00000139746","RBM26","t2d",1,0.223187140317799,0.0568629656860634,8.67297379610556e-05,0.00552360018639473,"Wald ratio",TRUE,"lead rs12584193 (cis p=2.6e-63)"
"ENSG00000140262","TCF12","t2d",1,0.361458284356646,0.111134935190252,0.00114423909372084,0.0347017748958791,"Wald ratio",TRUE,"lead rs9672676 (cis p=7.5e-61)"
"ENSG00000140382","HMG20A","t2d",1,0.25239845206177,0.0695761128850627,0.000286002012594837,0.0128385925477594,"Wald ratio",TRUE,"lead rs11632999 (cis p=5.8e-124)"
"ENSG00000140391","TSPAN3","t2d",1,0.229848106460687,0.0390148077387144,3.83159125236187e-09,1.85923404102702e-06,"Wald ratio",TRUE,"lead rs10152181 (cis p=3.3e-310)"
"ENSG00000141026","MED9","t2d",1,-1.03417318615263,0.26610304205097,0.000101757044264199,0.00606376772545136,"Wald ratio",TRUE,"lead rs1242490 (cis p=4.7e-09)"
