"gene","outcome","outid","nsnp","b","se","pval","method","ok","note","calib"
"ANGPTL3","Triglycerides","ieu-b-111",20,0.0987105136235901,0.0365505829614214,0.00692030881814758,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 20","方向 ✓ (蛋白up→结局 Triglycerides，符合已知)"
"ANGPTL3","Triglycerides","ieu-b-111",20,0.0987105136235901,0.0049177897343827,1.29341561807185e-89,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 20","方向 ✓ (蛋白up→结局 Triglycerides，符合已知)"
"ANGPTL3","Triglycerides","ieu-b-111",20,-0.00510675197513904,0.00874446691626266,0.559221597227681,"Weighted median",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 20","方向 ✗ (蛋白up→结局 Triglycerides，与已知 up 相反)"
"ANGPTL3","Triglycerides","ieu-b-111",20,0.0910578058361911,0.0568863323402838,0.126848106805511,"MR Egger",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 20","方向 ✓ (蛋白up→结局 Triglycerides，符合已知)"
"ANGPTL3","apoB","ieu-b-108",20,0.0390161192717855,0.0142947123903118,0.0063447922416756,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 20",""
"ANGPTL3","apoB","ieu-b-108",20,0.0390161192717855,0.00513356124833922,2.95661385863562e-14,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 20",""
"ANGPTL3","apoB","ieu-b-108",20,0.0055115392118993,0.00862315921614951,0.522721810202777,"Weighted median",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 20",""
"ANGPTL3","apoB","ieu-b-108",20,0.0357207206697776,0.022244166891114,0.125708068717403,"MR Egger",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 20",""
"APOC3","LDL-C","ieu-b-110",11,0.146496635187816,0.0403071078019635,0.000278508147309437,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 11","方向 ✓ (蛋白up→结局 LDL-C，符合已知)"
"APOC3","LDL-C","ieu-b-110",11,0.146496635187816,0.00964438333880618,4.12929357526297e-52,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 11","方向 ✓ (蛋白up→结局 LDL-C，符合已知)"
"APOC3","LDL-C","ieu-b-110",11,0.055422709357679,0.0218774926360828,0.0112987462808086,"Weighted median",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 11","方向 ✓ (蛋白up→结局 LDL-C，符合已知)"
"APOC3","LDL-C","ieu-b-110",11,0.144867874908523,0.0711740881909703,0.0723005230358424,"MR Egger",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 11","方向 ✓ (蛋白up→结局 LDL-C，符合已知)"
"APOC3","HDL-C","ieu-b-109",11,-0.389319078103056,0.0699738311878913,2.63991093885728e-08,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 11","方向 ✓ (蛋白down→结局 HDL-C，符合已知)"
"APOC3","HDL-C","ieu-b-109",11,-0.389319078103056,0.00880083576756592,0,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 11","方向 ✓ (蛋白down→结局 HDL-C，符合已知)"
"APOC3","HDL-C","ieu-b-109",11,-0.177384752318766,0.0500554505287389,0.000394456710590434,"Weighted median",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 11","方向 ✓ (蛋白down→结局 HDL-C，符合已知)"
"APOC3","HDL-C","ieu-b-109",11,-0.406055890660526,0.12336687889283,0.0093566732902353,"MR Egger",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 11","方向 ✓ (蛋白down→结局 HDL-C，符合已知)"
"APOC3","Triglycerides","ieu-b-111",0,NA,NA,NA,NA,FALSE,"
Status code from OpenGWAS API: 401

Message: {""message"":""Unknown error.""}",""
"APOC3","apoB","ieu-b-108",11,0.192079560880043,0.0531746897100572,0.000303567383640564,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 11",""
"APOC3","apoB","ieu-b-108",11,0.192079560880043,0.00961689685918976,9.43456407098203e-89,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 11",""
"APOC3","apoB","ieu-b-108",11,0.0678069112738384,0.0234807883565877,0.00387994223350984,"Weighted median",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 11",""
"APOC3","apoB","ieu-b-108",11,0.195232779623173,0.0938684583919121,0.0672809916428313,"MR Egger",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 11",""
"APOB","LDL-C","ieu-b-110",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整",""
"APOB","HDL-C","ieu-b-109",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整",""
"APOB","Triglycerides","ieu-b-111",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整",""
"APOB","apoB","ieu-b-108",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整",""
"LDLR","LDL-C","ieu-b-110",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整",""
"LDLR","HDL-C","ieu-b-109",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整",""
"LDLR","Triglycerides","ieu-b-111",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整",""
"LDLR","apoB","ieu-b-108",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整",""
"GLP1R","LDL-C","ieu-b-110",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异",""
"GLP1R","HDL-C","ieu-b-109",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异",""
"GLP1R","Triglycerides","ieu-b-111",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异",""
"GLP1R","apoB","ieu-b-108",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异",""
"DPP4","LDL-C","ieu-b-110",0,NA,NA,NA,NA,FALSE,"clump 后无独立工具",""
"DPP4","HDL-C","ieu-b-109",0,NA,NA,NA,NA,FALSE,"clump 后无独立工具",""
"DPP4","Triglycerides","ieu-b-111",0,NA,NA,NA,NA,FALSE,"clump 后无独立工具",""
"DPP4","apoB","ieu-b-108",0,NA,NA,NA,NA,FALSE,"clump 后无独立工具",""
"INSR","LDL-C","ieu-b-110",2,-0.00604845126261684,0.0636310270325433,0.924271091182274,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2",""
"INSR","LDL-C","ieu-b-110",2,-0.00604845126261684,0.0230021072500847,0.79258753714732,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2",""
"INSR","HDL-C","ieu-b-109",2,0.0263696306596034,0.105830286401487,0.803230028295017,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2",""
"INSR","HDL-C","ieu-b-109",2,0.0263696306596034,0.0211731816831649,0.212975206444805,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2",""
"INSR","Triglycerides","ieu-b-111",2,-0.020545493478335,0.210979032388868,0.922423289581884,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2",""
"INSR","Triglycerides","ieu-b-111",2,-0.020545493478335,0.0220542467238323,0.351548974109224,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2",""
"INSR","apoB","ieu-b-108",2,-0.0200405729152592,0.0900016017451851,0.823793075948301,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2",""
"INSR","apoB","ieu-b-108",2,-0.0200405729152592,0.0227863021685955,0.379129753660619,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 18（无 annotated）; clump 2→harmonise 2",""
"PCK1","LDL-C","ieu-b-110",1,-0.00900809322033898,0.0509493644067797,0.85966170262461,"Wald ratio",TRUE,"palindromic 排除 0（无 annotated）; clump 1→harmonise 1",""
"PCK1","HDL-C","ieu-b-109",1,-0.126946822033898,0.0466364406779661,0.00648779101140732,"Wald ratio",TRUE,"palindromic 排除 0（无 annotated）; clump 1→harmonise 1",""
"PCK1","Triglycerides","ieu-b-111",1,0.187990042372881,0.0486010593220339,0.000109721067146016,"Wald ratio",TRUE,"palindromic 排除 0（无 annotated）; clump 1→harmonise 1",""
"PCK1","apoB","ieu-b-108",1,0.0128958262711864,0.0507783898305085,0.799524233301582,"Wald ratio",TRUE,"palindromic 排除 0（无 annotated）; clump 1→harmonise 1",""
"GCG","LDL-C","ieu-b-110",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异",""
"GCG","HDL-C","ieu-b-109",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异",""
"GCG","Triglycerides","ieu-b-111",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异",""
"GCG","apoB","ieu-b-108",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异",""
