"gene","outcome","nsnp","b","se","pval","method","ok","note"
"PCSK9","ebi-a-GCST005186",5,-0.00727095094836959,0.0244282460160872,0.765973948327259,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 5"
"PCSK9","ebi-a-GCST005186",5,0.00255388082367847,0.0292323171450908,0.930381404253139,"Weighted median",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 5"
"PCSK9","ebi-a-GCST005186",5,0.0080697858662026,0.0699667880602664,0.915464536665621,"MR Egger",TRUE,"palindromic 排除 66（无 annotated）; clump 14→harmonise 5"
"HMGCR","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异"
"HMGCR","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异"
"HMGCR","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异"
"ANGPTL3","ebi-a-GCST006867",9,0.0028253111239537,0.0232160682517796,0.903139491873802,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 9"
"ANGPTL3","ebi-a-GCST006867",9,0.0028253111239537,0.0237434992665101,0.905280871014325,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 9"
"ANGPTL3","ebi-a-GCST006867",9,0.00293062152570321,0.0279789845318386,0.916579208796569,"Weighted median",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 9"
"ANGPTL3","ebi-a-GCST006867",9,0.0234461868952254,0.0377510389617656,0.554228027962749,"MR Egger",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 9"
"ANGPTL3","ebi-a-GCST005194",19,-0.010491217164168,0.0139380467387174,0.451628080356502,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 19"
"ANGPTL3","ebi-a-GCST005194",19,-0.010491217164168,0.0134344392824135,0.43484977417102,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 19"
"ANGPTL3","ebi-a-GCST005194",19,-0.0125497974998485,0.0165577928147565,0.448487480734539,"Weighted median",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 19"
"ANGPTL3","ebi-a-GCST005194",19,-0.0240126814732151,0.021231355136531,0.273758522207775,"MR Egger",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 19"
"ANGPTL3","ebi-a-GCST005186",12,-0.00371344636094907,0.00678828769412148,0.584353127980547,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 12"
"ANGPTL3","ebi-a-GCST005186",12,-0.00371344636094907,0.0100501620241081,0.711761636098356,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 12"
"ANGPTL3","ebi-a-GCST005186",12,-0.000774701943594492,0.0124592946097563,0.95042057561514,"Weighted median",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 12"
"ANGPTL3","ebi-a-GCST005186",12,-0.00466862520538748,0.0170670245164649,0.789999814528223,"MR Egger",TRUE,"palindromic 排除 184（无 annotated）; clump 23→harmonise 12"
"APOC3","ebi-a-GCST006867",3,0.116394674429499,0.0779082132897165,0.135176277589368,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 3"
"APOC3","ebi-a-GCST006867",3,0.116394674429499,0.0501698794976031,0.0203402799941035,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 3"
"APOC3","ebi-a-GCST006867",3,0.0973076177855542,0.0530029247102766,0.0663737083247781,"Weighted median",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 3"
"APOC3","ebi-a-GCST006867",3,-0.00829554445460458,0.134430403844142,0.960764683484482,"MR Egger",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 3"
"APOC3","ebi-a-GCST005194",10,0.151138570363701,0.0684062966915787,0.0271451056260348,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 10"
"APOC3","ebi-a-GCST005194",10,0.151138570363701,0.0258813882575006,5.23067010468804e-09,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 10"
"APOC3","ebi-a-GCST005194",10,0.18384677419842,0.0494966608917758,0.000203745355480551,"Weighted median",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 10"
"APOC3","ebi-a-GCST005194",10,0.244514837907537,0.117265065752006,0.0705484767211953,"MR Egger",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 10"
"APOC3","ebi-a-GCST005186",3,0.0443380096656905,0.0031222280597789,9.06249105748965e-46,"Inverse variance weighted (multiplicative random effects)",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 3"
"APOC3","ebi-a-GCST005186",3,0.0443380096656905,0.023040479078087,0.0543103806335998,"Inverse variance weighted (fixed effects)",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 3"
"APOC3","ebi-a-GCST005186",3,0.0455707513274554,0.025547816904852,0.0744653606564424,"Weighted median",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 3"
"APOC3","ebi-a-GCST005186",3,0.0503215168200983,0.040740925518197,0.433267348075275,"MR Egger",TRUE,"palindromic 排除 90（无 annotated）; clump 11→harmonise 3"
"APOB","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整"
"APOB","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整"
"APOB","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整"
"LDLR","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整"
"LDLR","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整"
"LDLR","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"蛋白文件未下载/不完整"
"GLP1R","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异"
"GLP1R","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异"
"GLP1R","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异"
"PCK1","ebi-a-GCST006867",1,0.209745762711864,0.188559322033898,0.265983588922348,"Wald ratio",TRUE,"palindromic 排除 0（无 annotated）; clump 1→harmonise 1"
"PCK1","ebi-a-GCST005194",1,0.00211864406779661,0.13771186440678,0.987725337120244,"Wald ratio",TRUE,"palindromic 排除 0（无 annotated）; clump 1→harmonise 1"
"PCK1","ebi-a-GCST005186",1,0.0699152542372881,0.0741525423728814,0.345753978677278,"Wald ratio",TRUE,"palindromic 排除 0（无 annotated）; clump 1→harmonise 1"
"GCG","ebi-a-GCST006867",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异"
"GCG","ebi-a-GCST005194",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异"
"GCG","ebi-a-GCST005186",0,NA,NA,NA,NA,FALSE,"cis ±1Mb、p<5e-6 内无变异"
